№,Название,Тикер,Основное назначение / особенность
1,Bitcoin,BTC,"Первая и самая известная криптовалюта, ""цифровое золото"", децентрализованный цифровой актив"
2,Ethereum,ETH,Платформа для смарт-контрактов и децентрализованных приложений (dApps)
3,Binance Coin,BNB,"Утилитарная валюта биржи Binance (ранее на BSC, теперь на собственной блокчейн-сети BNB Chain)"
4,Solana,SOL,"Высокоскоростная блокчейн-платформа с низкими комиссиями, поддержка dApps и NFT"
5,XRP,XRP,Криптовалюта для быстрых международных платежей (Ripple Labs)
6,Cardano,ADA,Научно обоснованная блокчейн-платформа с доказательством стейкинга (PoS)
7,Dogecoin,DOGE,"Первоначально мем-криптовалюта, но приобрела популярность как средство платежа и спекулятивный актив"
8,Polkadot,DOT,Мультичейн-платформа для связи разных блокчейнов (интероперабельность)
9,Polygon,MATIC,"Масштабируемое решение для Ethereum (Layer 2), ускоряет транзакции и снижает комиссии"
10,Litecoin,LTC,"""Серебро по сравнению с золотом Bitcoin"", быстрые транзакции, упрощённый майнинг"